run_id,action_space,seed,train_steps,training_code_commit,evaluation_code_commit,checkpoint_sha256,interruption_recovered,training_wall_clock_seconds,evaluation_wall_clock_seconds,n_test_episodes,crash_count,crash_penalty_count,max_abs_observed_steer,max_abs_a_long,max_abs_a_lat,max_abs_nonterminal_a_long,max_abs_nonterminal_a_lat,test_mean_reward,test_mean_progress,test_completion_rate,test_crash_rate,test_mean_lateral_error,total_params,passed
rung2_41921dd_steer_speed_full_s0,steer_speed,0,20000,41921dddeac5ef8c7bb4c9adc9b33b12516e4cea,a15dc3a7ffb2ca1af55d7d655c70ce31b69755ee,037513aff7af31089000de99e5fe94b27abb1b107b7e26dbd057d08909e6fc9d,True,,479.111230134964,2,2,2,0.256,220.43447169562555,5.378458612614807,4.770191348960351,5.378458612614807,47.142700171490084,0.14803574230382321,0.0,1.0,0.09636995239539316,370184,True
rung2_41921dd_curvature_speed_full_s0,curvature_speed,0,20000,41921dddeac5ef8c7bb4c9adc9b33b12516e4cea,a15dc3a7ffb2ca1af55d7d655c70ce31b69755ee,a5dc934747cb12fbcb1cd6d583837f776763143162a2c7f6ba8e44ecf134f98d,False,6333.658832900008,108.604243516922,2,2,2,0.38399999999999984,76.0478562922272,7.0984892397723955,7.995249533183535,7.0984892397723955,1.991762622364667,0.030757676506102616,0.0,1.0,0.2758790297617682,370184,True
rung2_41921dd_lookahead_point_full_s0,lookahead_point,0,20000,41921dddeac5ef8c7bb4c9adc9b33b12516e4cea,a15dc3a7ffb2ca1af55d7d655c70ce31b69755ee,9fb2ef3d259593a4868c30dadc6f8826cec1edcfeeb9fa0f2493661b2bc88cda,False,4638.7179650000035,373.61419129371643,2,2,2,0.432,319.8316795840125,13.851771490922538,7.646716715750479,13.851771490922538,45.63547877464656,0.1472403224444119,0.0,1.0,0.31769240229626405,371722,True
rung2_41921dd_bezier_full_s0,bezier,0,20000,41921dddeac5ef8c7bb4c9adc9b33b12516e4cea,a15dc3a7ffb2ca1af55d7d655c70ce31b69755ee,f962c03517e28b248928f055bf74fb262c0cfe8678c48cbb4f8353c87d8eeedc,False,6758.030654800008,1330.767166852951,2,2,2,0.25599999999999995,406.7922818401662,4.531926263765988,7.593646111931163,4.531926263765988,40.43724363537393,0.14620412146921502,0.0,1.0,0.3997848670668591,374798,True
