run_id,eval_source,action_space,obs_regime,seed,train_track,selection_metric,selected_checkpoint_name,total_params,trainable_params,action_dim,overall_n_episodes,overall_mean_reward,overall_std_reward,overall_mean_progress,overall_completion_rate,overall_crash_rate,overall_timeout_rate,overall_mean_length,overall_mean_lateral_error,overall_std_lateral_error,overall_max_lateral_error,overall_mean_heading_error,overall_mean_speed,overall_mean_steer_rate,overall_mean_steer_tv,overall_mean_steer_tv_per_step,overall_steer_clip_frac,overall_speed_clip_frac,overall_mean_reward_progress,overall_mean_reward_a_long_pen,overall_mean_reward_a_lat_pen,overall_mean_reward_time_pen,overall_mean_reward_crash_pen,overall_mean_reward_total,overall_max_abs_observed_steer,overall_max_abs_a_long,overall_max_abs_a_lat,overall_max_abs_nonterminal_a_long,overall_max_abs_nonterminal_a_lat,overall_wall_clock_seconds,test_n_episodes,test_mean_reward,test_std_reward,test_mean_progress,test_completion_rate,test_crash_rate,test_timeout_rate,test_mean_length,test_mean_lateral_error,test_std_lateral_error,test_max_lateral_error,test_mean_heading_error,test_mean_speed,test_mean_steer_rate,test_mean_steer_tv,test_mean_steer_tv_per_step,test_steer_clip_frac,test_speed_clip_frac,test_mean_reward_progress,test_mean_reward_a_long_pen,test_mean_reward_a_lat_pen,test_mean_reward_time_pen,test_mean_reward_crash_pen,test_mean_reward_total,test_max_abs_observed_steer,test_max_abs_a_long,test_max_abs_a_lat,test_max_abs_nonterminal_a_long,test_max_abs_nonterminal_a_lat
rung2_41921dd_bezier_full_s0,test,bezier,full,0,Sakhir,completion_then_progress,best_validation_model.zip,374798,374798,5,2,40.43724363537393,3.9381979699355973,0.14620412146921502,0.0,1.0,0.0,5623.0,0.3997848670668591,0.001507645277315811,1.041696560910279,0.025241242630634493,1.0556298150451546,1.4809760890061905,83.24627433407807,0.01480349863155684,0.08013838985132606,0.48790192941392097,0.010473705912484498,-0.0014023906817163625,-1.7606019424426778e-06,-0.00010000000000000002,-0.0017892167157325064,0.007180337913093186,0.25599999999999995,406.7922818401662,4.531926263765988,7.593646111931163,4.531926263765988,1330.767166852951,2,40.43724363537393,3.9381979699355973,0.14620412146921502,0.0,1.0,0.0,5623.0,0.3997848670668591,0.001507645277315811,1.041696560910279,0.025241242630634493,1.0556298150451546,1.4809760890061905,83.24627433407807,0.01480349863155684,0.08013838985132606,0.48790192941392097,0.010473705912484498,-0.0014023906817163625,-1.7606019424426778e-06,-0.00010000000000000002,-0.0017892167157325064,0.007180337913093186,0.25599999999999995,406.7922818401662,4.531926263765988,7.593646111931163,4.531926263765988
rung2_41921dd_curvature_speed_full_s0,test,curvature_speed,full,0,Sakhir,completion_then_progress,best_validation_model.zip,370184,370184,2,2,1.991762622364667,0.42464709155139513,0.030757676506102616,0.0,1.0,0.0,446.5,0.2758790297617682,0.003020210903578069,1.0849979135730325,0.20797839013930486,2.8657465662278687,1.124935121516871,4.987942163284725,0.011170856564508207,0.10640413883168416,0.3168868350997036,0.027731311916031676,-0.0007379759296352958,-3.455184919600558e-05,-0.00010000000000000002,-0.022427043045858658,0.004431741091341718,0.38399999999999984,76.0478562922272,7.0984892397723955,7.995249533183535,7.0984892397723955,108.604243516922,2,1.991762622364667,0.42464709155139513,0.030757676506102616,0.0,1.0,0.0,446.5,0.2758790297617682,0.003020210903578069,1.0849979135730325,0.20797839013930486,2.8657465662278687,1.124935121516871,4.987942163284725,0.011170856564508207,0.10640413883168416,0.3168868350997036,0.027731311916031676,-0.0007379759296352958,-3.455184919600558e-05,-0.00010000000000000002,-0.022427043045858658,0.004431741091341718,0.38399999999999984,76.0478562922272,7.0984892397723955,7.995249533183535,7.0984892397723955
rung2_41921dd_lookahead_point_full_s0,test,lookahead_point,full,0,Sakhir,completion_then_progress,best_validation_model.zip,371722,371722,3,2,45.63547877464656,6.342819484314031,0.1472403224444119,0.0,1.0,0.0,1609.0,0.31769240229626405,0.004474744042537643,1.1110607200521996,0.04421339801291574,3.6534717347696075,2.7593506304352244,44.3795646479785,0.02757157555745679,0.634443286539432,0.9341431139440841,0.036839822881785916,-0.0021257153303878527,-0.00011148103216143587,-0.00010000000000000005,-0.006265927684418441,0.02823669883481818,0.432,319.8316795840125,13.851771490922538,7.646716715750479,13.851771490922538,373.61419129371643,2,45.63547877464656,6.342819484314031,0.1472403224444119,0.0,1.0,0.0,1609.0,0.31769240229626405,0.004474744042537643,1.1110607200521996,0.04421339801291574,3.6534717347696075,2.7593506304352244,44.3795646479785,0.02757157555745679,0.634443286539432,0.9341431139440841,0.036839822881785916,-0.0021257153303878527,-0.00011148103216143587,-0.00010000000000000005,-0.006265927684418441,0.02823669883481818,0.432,319.8316795840125,13.851771490922538,7.646716715750479,13.851771490922538
rung2_41921dd_steer_speed_full_s0,test,steer_speed,full,0,Sakhir,completion_then_progress,best_validation_model.zip,370184,370184,2,2,47.142700171490084,4.06781933505178,0.14803574230382321,0.0,1.0,0.0,2082.0,0.09636995239539316,0.0056515993985630925,1.0977048301748735,0.06614657471302207,2.899854450726367,3.3205232496672963,69.08266870619656,0.03318835181186433,0.8969562413361107,0.93149597105983,0.02861571463642213,-0.0010394217851462152,-4.233903069869496e-05,-0.00010000000000000002,-0.004823052802467031,0.02261090101811019,0.256,220.43447169562555,5.378458612614807,4.770191348960351,5.378458612614807,479.111230134964,2,47.142700171490084,4.06781933505178,0.14803574230382321,0.0,1.0,0.0,2082.0,0.09636995239539316,0.0056515993985630925,1.0977048301748735,0.06614657471302207,2.899854450726367,3.3205232496672963,69.08266870619656,0.03318835181186433,0.8969562413361107,0.93149597105983,0.02861571463642213,-0.0010394217851462152,-4.233903069869496e-05,-0.00010000000000000002,-0.004823052802467031,0.02261090101811019,0.256,220.43447169562555,5.378458612614807,4.770191348960351,5.378458612614807
